1. SAMOSIR,,,,,,,,,,
Nama Kawasan (area_name),Lingkungan (environment),Kelurahan (villages),Kecamatan (district_id),Kabupaten/Kota (region_id),Total Luas (total_area),Total Penduduk (total_population),Tingkat Kekumuhan (slum_value),Tahun (year_inspected),Latitude,Longitude
Tegal Sari,Lingkungan 4,Tegal Sari,120919,1209,4.06,1932,19,2022,2.584274,99.372989
Gambir Baru 1,Lingkungan 1,Gambir Baru,120920,1209,2.73,652,19,2022,2.592111,99.386310
Gambir Baru 2,Lingkungan 2,Gambir Baru,120920,1209,1.91,768,18,2022,2.592209,99.382588
Gambir Baru 3,Lingkungan 4,Gambir Baru,120920,1209,3.08,439,18,2022,2.592721,99.383070
Gambir Baru 4,Lingkungan 5,Gambir Baru,120920,1209,3.25,412,19,2022,2.593968,99.384250
Baru - Karang A 1,Lingkungan 6,Gambir Baru,120920,1209,1.34,471,19,2022,2.593368,99.381825
Baru - Karang A 2,Lingkungan 7,Gambir Baru,120920,1209,2.22,848,21,2022,2.593167,99.382702
Baru - Karang A 3,Lingkungan 1,Karang Anyer,120920,1209,2.15,1047,19,2022,2.591808,99.384084
Baru - Karang A 4,Lingkungan 2,Karang Anyer,120920,1209,3.91,923,20,2022,2.591898,99.383513
Baru - Karang A 5,Lingkungan 4,Karang Anyer,120920,1209,5.1,926,16,2022,2.593884,99.384071
Baru - Karang A 6,Lingkungan 5,Karang Anyer,120920,1209,3.41,517,18,2022,2.593290,99.383253
Kedai Ledang 1,Lingkungan 1,Kedai Ledang,120920,1209,1.12,870,16,2022,2.575909,99.381414
Kedai Ledang 2,Lingkungan 2,Kedai Ledang,120920,1209,0.52,501,16,2022,2.574374,99.382511
Kedai Ledang 3,Lingkungan 6,Kedai Ledang,120920,1209,0.91,611,17,2022,2.575356,99.385463
Kisaran Naga 1,Lingkungan 1,Kisaran Naga,120920,1209,4.01,711,21,2022,2.581979,99.372588
Kisaran Naga 2,Lingkungan 2,Kisaran Naga,120920,1209,3.01,870,19,2022,2.575937,99.374638
Kisaran Naga 3,Lingkungan 4,Kisaran Naga,120920,1209,5.66,780,17,2022,2.581738,99.365233
Lestari 1,Lingkungan 2,Lestari,120920,1209,1.13,668,19,2022,2.594153,99.373451
Lestari 2,Lingkungan 5,Lestari,120920,1209,0.78,636,18,2022,2.592780,99.374494
Lestari 3,Lingkungan 6,Lestari,120920,1209,0.8,529,19,2022,2.592571,99.374625
Lestari 4,Lingkungan 7,Lestari,120920,1209,1.14,724,22,2022,2.592486,99.375238
Mutiara 1,Lingkungan 3,Mutiara,120920,1209,2.82,573,21,2022,2.581588,99.384583
Mutiara 2,Lingkungan 5,Mutiara,120920,1209,3.04,1023,17,2022,2.583859,99.384942
Mutiara 3,Lingkungan 7,Mutiara,120920,1209,4.6,661,16,2022,2.583411,99.385993
Mutiara 4,Lingkungan 8,Mutiara,120920,1209,2.35,563,18,2022,2.584285,99.391398
Sentang 1,Lingkungan 5,Sentang,120920,1209,4.11,1222,19,2022,2.571577,99.392440
Sentang 2,Lingkungan 6,Sentang,120920,1209,7.51,1058,19,2022,2.571315,99.384370
Sentang 3,Lingkungan 7,Sentang,120920,1209,2.58,617,24,2022,2.572650,99.399530
Siumbut Baru 1,Lingkungan 1,Siumbut Baru,120920,1209,2.54,422,18,2022,2.591567,99.392599
Siumbut Baru 2,Lingkungan 4,Siumbut Baru,120920,1209,3.8,447,19,2022,2.585148,99.392240
Siumbut Umbut 1,Lingkungan 2,Siumbut Baru,120920,1209,4.82,428,18,2022,2.593000,99.394692
Siumbut Umbut 2,Lingkungan 3,Siumbut Baru,120920,1209,4.08,500,19,2022,2.591608,99.394938
Siumbut Umbut 3,Lingkungan 5,Siumbut Baru,120920,1209,4.09,399,16,2022,2.585457,99.395146
Siumbut Umbut 4,Lingkungan 6,Siumbut Baru,120920,1209,2.36,295,18,2022,2.585987,99.393838
Siumbut Umbut 5,Lingkungan 7,Siumbut Baru,120920,1209,4.7,348,16,2022,2.593452,99.393438
Siumbut Umbut 6,Lingkungan 8,Siumbut Baru,120920,1209,6.5,467,16,2022,2.591172,99.395571
Siumbut Umbut 7,Lingkungan 9,Siumbut Baru,120920,1209,3.49,323,21,2022,2.583770,99.392854
Siumbut Umbut 8,Lingkungan 10,Siumbut Baru,120920,1209,3.67,301,20,2022,2.591980,99.394534
Siumbut Umbut 9,Lingkungan 1,Siumbut Umbut,120920,1209,7.1,831,21,2022,2.599800,99.402441
Siumbut Umbut 10,Lingkungan 2,Siumbut Umbut,120920,1209,4.35,563,17,2022,2.585622,99.400950
Siumbut Umbut 11,Lingkungan 3,Siumbut Umbut,120920,1209,2.3,1151,21,2022,2.585711,99.401159
Siumbut Umbut 12,Lingkungan 4,Siumbut Umbut,120920,1209,11.66,797,23,2022,2.591547,99.401193
Siumbut Umbut 13,Lingkungan 5,Siumbut Umbut,120920,1209,12.28,648,17,2022,2.592662,99.395900
Siumbut Umbut 14,Lingkungan 6,Siumbut Umbut,120920,1209,5.03,740,24,2022,2.594489,99.409300
Teladan 1,Lingkungan 1,Teladan,120920,1209,0.49,122,16,2022,2.584498,99.375607
Teladan 2,Lingkungan 8,Teladan,120920,1209,1.04,332,17,2022,2.582105,99.374567
Teladan 3,Lingkungan 9,Teladan,120920,1209,1.4,232,16,2022,2.584331,99.375944
Bagan Asahan 1,Lingkungan 1,"Bagan Asahan, Bagan Asahan Baru, Bagan Asahan Pekan",120910,1209,0.46,2928,45,2022,3.019203,99.859141
Bagan Asahan 2,Lingkungan 2,Bagan Asahan,120910,1209,2.74,588,43,2022,3.018926,99.858856
Bagan Asahan 3,Lingkungan 3,Bagan Asahan,120910,1209,3.89,777,42,2022,3.018462,99.858170
Bagan Asahan 4,Lingkungan 4,Bagan Asahan,120910,1209,2.59,880,36,2022,3.016189,99.857406
Bagan Asahan 5,Lingkungan 5,Bagan Asahan,120910,1209,10.94,1008,39,2022,3.016237,99.855672
Bagan Asahan 6,Lingkungan 1,Bagan Asahan Baru,120910,1209,1.76,799,41,2022,3.014256,99.858847
Bagan Asahan 7,Lingkungan 2,Bagan Asahan Baru,120910,1209,2.6,643,40,2022,3.013237,99.858814
Bagan Asahan 8,Lingkungan 3,Bagan Asahan Baru,120910,1209,2.98,482,40,2022,3.012033,99.858823
Bagan Asahan 9,Lingkungan 4,Bagan Asahan Baru,120910,1209,2.41,1855,42,2022,3.011539,99.858118
Bagan Asahan 10,Lingkungan 5,Bagan Asahan Baru,120910,1209,5.48,1390,41,2022,3.010179,99.857625
Bagan Asahan 11,Lingkungan 2,Bagan Asahan Pekan,120910,1209,1.61,1420,42,2022,3.015483,99.858663
Bagan Asahan 12,Lingkungan 3,Bagan Asahan Pekan,120910,1209,0.67,689,42,2022,3.016528,99.858298
Bagan Asahan 13,Lingkungan 5,Bagan Asahan Pekan,120910,1209,6.6,806,44,2022,3.014235,99.856368
Bagan Asahan 14,Lingkungan 6,Bagan Asahan Pekan,120910,1209,7.93,745,42,2022,3.012105,99.856432
Patembo 1,Lingkungan 1,"Sei Jawi Jawi, Sei Nangka",120924,1209,6.1,832,46,2022,2.968522,99.812787
Patembo 2,Lingkungan 2,Sei Jawi Jawi,120924,1209,17.07,1055,43,2022,2.971814,99.812864
Patembo 3,Lingkungan 3,Sei Jawi Jawi,120924,1209,3.44,676,47,2022,2.969011,99.814127
Patembo 4,Lingkungan 4,Sei Jawi Jawi,120924,1209,6.12,696,45,2022,2.969515,99.815448
Patembo 5,Lingkungan 5,Sei Jawi Jawi,120924,1209,5.84,471,46,2022,2.970486,99.818270
Patembo 6,Lingkungan 1,Sei Nangka,120924,1209,10.88,1198,43,2022,2.973947,99.811285
Patembo 7,Lingkungan 2,Sei Nangka,120924,1209,22.82,1736,45,2022,2.978401,99.811006
Patembo 8,Lingkungan 3,Sei Nangka,120924,1209,8.11,796,48,2022,2.986404,99.809187
Patembo 9,Lingkungan 4,Sei Nangka,120924,1209,0.64,887,46,2022,2.989134,99.810034
,,,,,,,,,,
16. SERDANG BEDAGAI,,,,,,,,,,
Pekan Tanjung Beringin Dusun 3-4,"Dusun 3, 4",Pekan Tanjung Beringin,121805,1218,4.91,948,20,2023,3.4930275,99.1845790
Pekan Tanjung Beringin,"Dusun 4, 5, 8, 9, 11",Pekan Tanjung Beringin,121805,1218,27.39,6266,29,2023,3.4942039,99.1898025
Nagur,"Dusun 1, 2",Nagur,121805,1218,4.82,2356,29,2023,3.4986336,99.1981164
Citaman Jernih Dusun 1-2,"Dusun 1, 2",Citaman Jernih,121802,1218,15.25,2448,16,2023,3.5652207,98.9460924
Citaman Jernih Dusun 2-3,"Dusun 2, 3",Citaman Jernih,121802,1218,9.07,2070,25,2023,3.5651218,98.9474983
Citaman Jernih Dusun 4,"Dusun 1,4",Citaman Jernih,121802,1218,1.94,1063,22,2023,3.5615785,98.9553853
Simpang Tiga Pekan - Lk Juani,Lingkungan Juani,Simpang Tiga Pekan,121802,1218,6.16,1235,24,2023,3.5705794,98.9591159
Simpang Tiga Pekan - Lk Manggis,Lingkungan Manggis,Simpang Tiga Pekan,121802,1218,9.34,1011,35,2023,3.5706312,98.9498647
Pasar Baru Dusun 1-2,"Dusun 1, 2",Pasar Baru,121803,1218,12.69,1514,28,2023,3.5547490,99.1089926
Pasar Baru Dusun 3,Dusun 3,Pasar Baru,121803,1218,7.60,643,34,2023,3.5528138,99.1017466
Pekan Bandar Khalipah Dusun 1-2,"Dusun 1, 2",Pekan Bandar Khalipah,121806,1218,5.34,1633,30,2023,3.4369883,99.2782098
Pekan Bandar Khalipah Dusun 4,Dusun 4,Pekan Bandar Khalipah,121806,1218,1.83,998,29,2023,3.4361650,99.2824475
Pekan Dolok Masihul,"Lingkungan 1, 2, 4, 5, 6",Pekan Dolok Masihul,121809,1218,25.67,3592,18,2023,3.3347933,99.0161596
Pekan Sialang Buah Dusun 1,Dusun 1,Pekan Sialang Buah,121803,1218,5.43,160,32,2023,3.5638720,99.1078642
Pekan Sialang Buah Dusun 3-5,"Dusun 3, 5",Pekan Sialang Buah,121803,1218,8.78,1520,20,2023,3.5598549,99.1124544
Sialang Buah,"Dusun 1, 2",Sialang Buah,122302,1218,10.07,1308,19,2023,3.5618512,99.1157797
Pon Dusun 2,Dusun 2,Pon,121815,1218,4.59,136,17,2023,3.4591042,99.1570751
Pon Dusun 3,Dusun 3,Pon,121815,1218,1.50,97,24,2023,3.4573381,99.1577269
Pon Dusun 4,Dusun 4,Pon,121815,1218,6.95,347,20,2023,3.4536132,99.1625409
Sei Rampah Dusun 1-2,"Dusun 1, 2",Sei Rampah,121804,1218,14.59,2648,20,2023,3.4830125,99.1399737
Sei Rampah Dusun 3,Dusun 3,Sei Rampah,121804,1218,2.15,721,20,2023,3.4782976,99.1398869
Pantai Cermin Kanan Dusun 1,Dusun 1,Pantai Cermin Kanan,121801,1218,2.57,459,31,2023,3.6493228,98.9861634
Pantai Cermin Kanan Dusun 2-3,"Dusun 2, 3",Pantai Cermin Kanan,121801,1218,5.92,1553,47,2023,3.6403068,98.9789158
,,,,,,,,,,
17. TAPANULI UTARA,,,,,,,,,,
Adian Koting,"DS001-00000, DS002-00000, DS003-00000",Adian Koting,120203,1202,7.03,1848,26,2023,1.865800643,98.91095588
Dolok Nauli,"DS001-00000, DS003-00000, DS002-00000",Dolok Nauli,120203,1202,4.43,1412,39,2023,1.893033856,98.92503539
Garoga Sibargot,"DS001-00000, DS002-00000, DS003-00000",Garoga Sibargot,120214,1202,11.24,3433,31,2023,2.028446331,99.36186715
Lontung Jae,"DS001-00000, DS002-00000, DS003-00000",Lontung Jae,120214,1202,13.48,2039,30,2023,2.011233251,99.4208176
Bariba Niaek,"DS001-00000, DS002-00000, DS003-00000",Bariba Niaek,120215,1202,20.34,758,31,2023,2.33089821,98.89089598
Hutana Godang,"DS001-00000, DS002-00000, DS003-00000",Hutana Godang,120215,1202,12.30,1976,17,2023,2.332170622,98.90858551
Silali Toruan,"DS001-00000, DS002-00000, DS003-00000",Silali Toruan,120215,1202,8.00,644,22,2023,2.33164498,98.89837931
Sitanggor,"DS001-00000, DS002-00000, DS003-00000",Sitanggor,120215,1202,4.26,989,34,2023,2.32924167,98.95652100
Unte Mungkur,"DS001-00000, DS003-00000",Unte Mungkur,120215,1202,12.03,852,17,2023,2.33882999,98.90982554
Sipultak,"DS001-00000, DS002-00000, DS003-00000",Sipultak,120210,1202,21.28,2446,26,2023,2.19517968,98.89745341
Pasar Sarulla,"LK002-00000, LK004-00000, LK006-00000",Pasar Sarulla,120206,1202,1.71,588,24,2023,1.78526425,99.11199904
Lumban Jaean,"DS001-00000, DS002-00000, DS003-00000",Lumban Jaean,120205,1202,2.21,547,25,2023,1.88308058,99.04338852
Onan Hasang,"LK001-00000, LK002-00000, LK003-00000",Onan Hasang,120205,1202,3.39,660,38,2023,1.89141217,99.04449904
Harianja,"DS001-00000, DS002-00000, DS003-00000",Din Kotin Harianja,120213,1202,12.69,1205,28,2023,2.00305486,99.15977496
Pakpahan,"DS001-00000, DS002-00000, DS003-00000",Pakpahan,120213,1202,28.13,3069,23,2023,2.01070977,99.15785919
Manalu,"DS001-00000, DS002-00000",Manalu,120211,1202,4.82,796,20,2023,2.10572180,98.76540821
Parsaoran,"DS001-00000, DS002-00000, DS003-00000",Parsaoran,120208,1202,2.87,1175,29,2023,1.76076402,99.11487147
Selamat,"DS001-00000, DS002-00000, DS003-00000",Selamat,120208,1202,4.64,1031,38,2023,1.76477205,99.10780603
Enda Portibi,"DS001-00000, DS003-00000",Enda Portibi,120202,1202,5.48,611,18,2023,2.00870977,98.99095781
Simorangkir Julu,"DS001-00000, DS002-00000, DS003-00000",Simorangkir Julu,120202,1202,7.01,1185,20,2023,2.01607968,98.99224477
Pasar Siborongborong,"LK001-00000, LK003-00000",Pasar Siborongborong,120209,1202,28.03,2637,17,2023,2.21249669,98.97631861
Siborongborong I,"DS001-00000, DS002-00000, DS003-00000",Siborongborong I,120209,1202,12.20,3112,22,2023,2.19636993,98.95225843
Simangumban Julu,"DS001-00000, DS002-00000, DS003-00000",Simangumban Julu,120207,1202,9.42,2107,31,2023,1.74325353,99.14629251
Sipahutar I,"DS001-00000, DS002-00000, DS003-00000",Sipahutar I,120212,1202,8.61,997,36,2023,2.11630008,99.08777642
Sipahutar III,"DS001-00000, DS002-00000, DS003-00000",Sipahutar III,120212,1202,5.40,1013,28,2023,2.10912136,99.08774504
Hutauruk,"DS001-00000, DS002-00000, DS003-00000",Hutauruk,120204,1202,3.00,3372,18,2023,2.06674847,98.94951060
Simanungkalit,"DS001-00000, DS002-00000, DS003-00000",Simanungkalit,120204,1202,15.93,2112,23,2023,2.06182375,98.93815642
Situmeang Habinsaran,"LK001-00000, LK002-00000, LK003-00000, LK004-00000, LK005-00000, LK006-00000",Situmeang Habinsaran,120204,1202,14.15,4305,27,2023,2.07628698,98.94376920
Hutagalung SW,"DS001-00000, DS002-00000, DS003-00000",Hutagalung Sw,120201,1202,5.61,1695,23,2023,2.02678451,98.95790208
Hutatoruan IX,"LK001-00000, LK002-00000, LK003-00000, LK004-00000",Hutatoruan IX,120201,1202,5.58,1217,28,2023,2.01755159,98.9606534
Hutatoruan V,"LK001-00000, LK002-00000, LK004-00000",Hutatoruan V,120201,1202,6.60,428,20,2023,2.013004255,98.96121559
Hutatoruan VI,"LK001-00000, LK002-00000",Hutatoruan VI,120201,1202,1.28,545,30,2023,2.025887673,98.95747389
Hutatoruan VII,"LK002-00000, LK003-00000",Hutatoruan VII,120201,1202,17.71,2094,24,2023,2.025134231,98.96890882
Hutatoruan X,"LK009-00000, LK010-00000",Hutatoruan X,120201,1202,4.92,942,30,2023,2.021175831,98.96528052
Hutatoruan XI,"LK001-00000, LK002-00000",Hutatoruan XI,120201,1202,5.84,505,22,2023,2.022322767,98.96493521
Hutauruk,"DS001-00000, DS002-00000",Hutauruk,120201,1202,3.29,397,20,2023,2.029925703,98.95787779
Partali Toruan,"LK003-00000, LK004-00000, LK005-00000",Partali Toruan,120201,1202,9.92,1012,19,2023,2.025296601,98.97689341
Simamora,"DS001-00000, DS002-00000, DS003-00000",Simamora,120201,1202,19.15,1766,22,2023,2.028545661,98.95932623
Siraja Oloan,DS001-00000,Siraja Oloan,120201,1202,2.39,101,24,2023,2.032385869,98.95943252
Sosunggulon,"DS001-00000, DS002-00000, DS003-00000",Sosunggulon,120201,1202,7.70,1181,29,2023,2.01876076,98.98692902
,,,,,,,,,,
19. LANGKAT,,,,,,,,,,
Serang Jaya A,Dusun 1,Serang Jaya,120523,1205,3.94,703,56,2022,4.19896110,98.14837780
Serang Jaya B,Dusun 4,Serang Jaya,120523,1205,4.71,452,60,2022,4.22268330,98.12715280
Serang Jaya C,Dusun 5,Serang Jaya,120523,1205,8.63,787,60,2022,4.23391390,98.11111670
Serang Jaya Hilir A,"Dusun 1, 2, 3",Serang Jaya Hilir,120523,1205,9.97,1813,60,2022,4.25141110,98.20750280
Serang Jaya Hilir B,Dusun 4,Serang Jaya Hilir,120523,1205,4.72,406,44,2022,4.19896110,98.20322780
Beras Basah,"Lingkungan 8, 9, 10, 11",Beras Basah,120515,1205,3.32,2574,52,2022,4.11165830,98.22368330
Perlis A,"Dusun 1, 2, 3, 4, 5, 6, 7, 8",Perlis,120518,1205,13.33,4160,62,2022,4.03537780,98.28861390
Perlis B,"Dusun 6, 9",Perlis,120518,1205,1.93,470,62,2022,4.04148060,98.28083330
Kelantan,"Dusun 1, 2, 3",Kelantan,120518,1205,3.64,1551,63,2022,4.03066390,98.28590000
Sei Bilah A,"Lingkungan 2, 5, 7",Sei Bilah,120517,1205,14.79,6913,46,2022,4.02692500,98.29043610
Sei Bilah B,"Lingkungan 1, 3, 4, 6",Sei Bilah,120517,1205,14.11,4851,46,2022,4.02692500,98.29043610
Sei Bilah Timur A,"Lingkungan 1, 2",Sei Bilah Timur,120517,1205,1.78,2804,31,2022,4.02286110,98.29171390
Sei Bilah Timur B,"Lingkungan  3, 4",Sei Bilah Timur,120517,1205,2.16,1849,31,2022,4.02415830,98.29995000
Teluk Meku,Dusun 7,Teluk Meku,120514,1205,2.66,1578,60,2022,4.05617780,98.35538610
Kwala Gebang A,"Dusun 1, 3",Kwala Gebang,120513,1205,3.84,787,64,2022,4.03845280,98.43497220
Kwala Gebang B,Dusun 2,Kwala Gebang,120513,1205,2.97,327,66,2022,4.03600000,98.44240280
Tapak Kuda,"Dusun 1, 2, 3, 4, 5 ",Tapak Kuda,120511,1205,7.47,2033,48,2022,3.98761110,98.51609170
Bubun A,Dusun 7,Bubun,120511,1205,6.79,354,64,2022,4.00367780,98.49599440
Bubun B,Dusun 3,Bubun,120511,1205,2.72,465,62,2022,3.99154440,98.49849440
Muka Paya A,"Dusun 6, 7",Muka Paya,120510,1205,3.07,1155,39,2022,3.86027780,98.46452780
Muka Paya B,Dusun 5,Muka Paya,120510,1205,3.41,183,39,2022,3.88888890,98.46208330
Selotong,"Dusun 3, 5, 6",Selotong,120509,1205,8.55,1336,54,2022,3.86876110,98.56034440
Jaring Halus,"Dusun 1, 2, 3, 4, 5 ",Jaring Halus,120509,1205,16.6,3874,60,2022,3.94719440,98.56780560
Kwala Besar,"Dusun 1, 2, 3, 4",Kwala Besar,120509,1205,2.8,1666,76,2022,3.90761670,98.66189720
Sawit Seberang,Lingkungan 1,Sawit Seberang,120520,1205,1.16,1038,29,2022,3.80031670,98.28451940
Mekar Sawit,Dusun 6,Mekar Sawit,120520,1205,1.01,682,25,2022,3.80141670,98.24847220
Pantai Gemi,Dusun 1,Pantai Gemi,120507,1205,2.66,2367,20,2022,3.75788890,98.44638330
Selayang,"Dusun 5, 8",Selayang,120506,1205,1.81,945,34,2022,3.62630560,98.40510000
,,,,,,,,,,
20. LABUHAN BATU,,,,,,,,,,
Aek Paing Bawah,Aek Paing Bawah 2,Aek Paing,121001,1210,11.28,1559,24,2022,2.128431,99.806266
Gajah Mada,Gajah Mada,Bina Raga,121001,1210,5.70,582,19,2022,2.093794,99.824291
Sei Tawar,Sei Tawar,Bina Raga,121001,1210,9.50,1094,16,2022,2.091961,99.82382
Bina raga,Bina raga,Cendana,121001,1210,3.66,1108,18,2022,2.096316,99.82492
Bogor,Bogor,Cendana,121001,1210,9.96,1074,31,2022,2.096997,99.823073
Ahmad Yani,Ahmad Yani I,Kartini,121001,1210,8,513,17,2022,2.099413,99.83334
Bangsal,Bangsal,Padang Matinggi,121001,1210,4.2,603,19,2022,2.114185,99.819087
Pangkalian,Pangkalian,Pulo Padang,121001,1210,3,506,19,2022,2.123734,99.867397
Kampung Tali,Kampung Tali,Siringo-ringo,121001,1210,2.8,399,18,2022,2.0954,99.795545
Pemancar,Pemancar,Siringo-ringo,121001,1210,5,1103,22,2022,2.102113,99.816093
Aek Matio,Aek Matio,Sirandorung,121001,1210,9,1965,16,2022,2.086092,99.824864
Al-Huda,A1-Huda,Sirandorung,121001,1210,4.37,1363,21,2022,2.085782,99.827661
Talak Simin,Talak Simin,Sirandorung,121001,1210,7.35,675,23,2022,2.07803,99.823324
Kampung Sawah,Kampung Sawah,Padang Bulan,121001,1210,6,1021,20,2022,2.083794,99.832027
Kampung Tempel,Kampung Tempel,Rantauprapat,121001,1210,5.88,790,33,2022,2.103946,99.826411
Paindoan,Paindoan,Rantauprapat,121001,1210,9,774,31,2022,2.104399,99.827873
Pekan Lama,Pekan Lama,Rantauprapat,121001,1210,6,641,35,2022,2.102336,99.830128
Pensiunan,Pensiunan,Rantauprapat,121001,1210,8,824,31,2022,2.105974,99.82271
Sidorejo,Sidorejo,Sidorejo,121002,1210,11.7,873,17,2022,2.034012,99.875464
Padat Karya,Padat Karya,Ujung Bandar,121002,1210,7,400,19,2022,2.067153,99.851048
Sepakat,Sepakat,Perdamean,121002,1210,22,1073,19,2022,2.056318,99.867152
Suka Dame,Suka Dame,Urung Kompas,121002,1210,8,1202,16,2022,2.092848,99.87196
Purwodadi B,Purwodadi B,Bakaran Batu,121002,1210,11.62,532,16,2022,2.084938,99.855261
Danau Balai Al,Danau Balai Al,Danau Balai,121002,1210,11.21,521,17,2022,2.061322,99.878072
Danau Balai A2,Danau Balai A2,Danau Ba1ai,121002,1210,13.12,402,17,2022,2.0566,99.877644
Danau Balai B,Danau Balai B,Danau Balai,121002,1210,17,568,21,2022,2.069494,99.874767
Danau Balai C,Danau Balai C,Danau Balai,121002,1210,18.79,463,23,2022,2.073869,99.878375
Kampung Baru,Kampung Baru,Danau Balai,121002,1210,12.89,375,20,2022,2.075667,99.879556
Rukun,Rukun,Lobusona,121002,1210,4.86,380,25,2022,2.063392,99.854622
Perdamean,Perdamean,Lobusona,121002,1210,5.55,370,24,2022,2.060693,99.854531
Kampung Sawah 1,Kampung Sawah 1,Sigambal,121002,1210,12.8,1472,17,2022,2.044777,99.870457
Kampung Sawah 2,Kampung Sawah 2,Sigambal,121002,1210,6.9,492,16,2022,2.043722,99.871813
Bakaran Batu,Bakaran Batu,Sioldengan,121002,1210,8.9,899,23,2022,2.098182,99.845228
Sibuaya,Sibuaya,Sioldengan,121002,1210,8.72,757,27,2022,2.103506,99.845893
Khairil Anwar,Khairil Anwar,Sioldengan,121002,1210,9.1,496,36,2022,2.094582,99.845485
Sidorejo,Sidorejo,Sidorejo,121002,1210,5.94,873,17,2022,2.035276,99.873089
,,,,,,,,,,
21. KARO,,,,,,,,,,
Mela Melket 1,LK001-00000,Kampung Dalam,120601,1206,1.89,602,38,2023,3.106057,98.490197
Mela Melket 2,LK002-00000,Kampung Dalam,120601,1206,2.62,772,34,2023,3.104356,98.490632
Mela Melket 3,LK003-00000,Kampung Dalam,120601,1206,4.00,592,34,2023,3.10531,98.491065
Mela Melket 4,LK004-00000,Kampung Dalam,120601,1206,2.25,679,34,2023,3.106087,98.493151
Mela Melket 5,LK006-00000,Kampung Dalam,120601,1206,6.31,699,34,2023,3.107329,98.495458
Mela Melket 6,LK007-00000,Kampung Dalam,120601,1206,3.80,1050,34,2023,3.105401,98.497449
Mela Melket 7,LK010-00000,Kampung Dalam,120601,1206,3.32,489,34,2023,3.109894,98.501453
Mela Melket 8,LK003-00000,Lau Cimba,120601,1206,1.61,719,24,2023,3.097633,98.483755
Mela Melket 9,LK005-00000,Lau Cimba,120601,1206,1.41,612,22,2023,3.093282,98.479235
Mela Melket 10,LK007-00000,Lau Cimba,120601,1206,4.90,681,20,2023,3.09393,98.478998
Mela Melket 11,LK009-00000,Lau Cimba,120601,1206,11.11,879,22,2023,3.090851,98.473806
Mela Melket 12,LK010-00000,Lau Cimba,120601,1206,4.88,793,22,2023,3.098868,98.481483
Mela Melket 13,LK001-00000,Gung Negri,120601,1206,2.17,971,34,2023,3.099782,98.497075
Mela Melket 14,LK002-00000,Gung Negri,120601,1206,4.81,943,34,2023,3.099875,98.497007
Mela Melket 15,LK003-00000,Gung Negri,120601,1206,4.60,1442,27,2023,3.100103,98.497952
Mela Melket 16,LK004-00000,Gung Negri,120601,1206,5.75,1211,20,2023,3.100068,98.498002
Mela Melket 17,LK005-00000,Gung Negri,120601,1206,4.06,1450,30,2023,3.099013,98.504445
Mela Melket 18,LK006-00000,Gung Negri,120601,1206,9.40,1444,29,2023,3.099013,98.504445
Mela Melket 19,LK007-00000,Gung Negri,120601,1206,6.32,1859,29,2023,3.10521,98.502686
Mela Melket 20,LK008-00000,Gung Negri,120601,1206,1.15,1109,29,2023,3.10521,98.502724
Mela Melket 21,LK001-00000,Padang Mas,120601,1206,1.55,529,28,2023,3.099526,98.488165
Mela Melket 22,LK002-00000,Padang Mas,120601,1206,2.26,578,25,2023,3.099243,98.48537
Mela Melket 23,LK003-00000,Padang Mas,120601,1206,3.44,1001,24,2023,3.096015,98.487888
Mela Melket 24,LK005-00000,Padang Mas,120601,1206,4.44,986,23,2023,3.096493,98.486923
Mela Melket 25,LK006-00000,Padang Mas,120601,1206,3.51,1456,26,2023,3.09412,98.484769
Mela Melket 26,LK007-00000,Padang Mas,120601,1206,1.46,598,25,2023,3.095152,98.486615
Mela Melket 27,LK008-00000,Padang Mas,120601,1206,3.79,901,29,2023,3.095954,98.489813
Mela Melket 28,LK010-00000,Padang Mas,120601,1206,2.20,930,27,2023,3.090231,98.491526
Mela Melket 29,DS001-00000,Samura,120601,1206,0.36,571,36,2023,3.094777,98.518925
Permukiman Asri 1,DS009-00000,SumberMufakat,120601,1206,0.57,402,21,2023,3.117874,98.525676
Permukiman Asri 2,DS003-00000,Kaban,120601,1206,2.17,230,34,2023,3.136132,98.500779
Permukiman Asri 3,DS005-00000,Kaban,120601,1206,0.34,295,30,2023,3.139603,98.497046
Permukiman Asri 4,LK001-00000,Tigabinanga,120608,1206,2.05,760,49,2023,3.068392,98.251178
Permukiman Asri 5,LK002-00000,Tigabinanga,120608,1206,8.70,1308,49,2023,3.069947,98.250742
Permukiman Asri 6,LK003-00000,Tigabinanga,120608,1206,7.59,1208,46,2023,3.073617,98.252158
Permukiman Asri 7,LK004-00000,Tigabinanga,120608,1206,3.45,820,51,2023,3.072406,98.250283
Permukiman Asri 8,LK006-00000,Tigabinanga,120608,1206,1.72,288,47,2023,3.067364,98.264514
Permukiman Asri 9,LK007-00000,Tigabinanga,120608,1206,10.79,2232,46,2023,3.072086,98.245031
Permukiman Asri 10,LK008-00000,Tigabinanga,120608,1206,2.59,448,46,2023,3.074161,98.246361
Permukiman Asri 11,LK09-00000,Tigabinanga,120608,1206,3.91,988,49,2023,3.073519,98.247986
Permukiman Asri 12,DS001-00000,Tigapanah,120604,1206,6.78,768,37,2023,3.43638,98.312675
Permukiman Asri 13,DS002-00000,Tigapanah,120604,1206,6.03,464,38,2023,3.43444,98.313209
Permukiman Asri 14,DS003-00000,Tigapanah,120604,1206,3.17,920,37,2023,3.43783,98.313381
