Kelurahan(village_id),Kecamatan(district_id),Kabupaten/Kota(region_id),Alokasi Unit(unit_count),Tahun(year_given),Status,Latitude,Longitude
1217052011,121705,1217,6,2025,Selesai,2.5342213032397636,98.66305392790409
1207262009,120726,1207,17,2025,Selesai,3.677228560600605,98.75777716081565
1207262014,120726,1207,11,2025,Selesai,3.727821195178918,98.74667677282685
1207262010,120726,1207,10,2025,Selesai,3.663796851884726,98.7178646472133
1207332011,120733,1207,17,2025,Selesai,3.6072877320215824,98.86030325607834
1207332010,120733,1207,17,2025,Selesai,3.616422078708541,98.89062350954327
1207322017,120732,1207,21,2025,Selesai,3.681205603189734,98.85111744341027
1207322004,120732,1207,18,2025,Selesai,3.68792975686725,98.85529016683569
1207322012,120732,1207,16,2025,Selesai,3.6366575091474074,98.92093681488777
1207022025,120702,1207,16,2025,Selesai,3.549277176505403,98.83105711421915
1205092010,120725,1207,20,2025,Selesai,3.891981892793985,98.65637252315767
1207242016,120724,1207,30,2025,Selesai,3.737326426666686,98.5469708921694
1207242007,120724,1207,13,2025,Selesai,3.7489217983982086,98.57464261058016
1207242018,120724,1207,11,2025,Selesai,3.819478973486723,98.59163812590448
1207242015,120724,1207,15,2025,Selesai,3.786303802042312,98.55222542396159
1207242020,120724,1207,29,2025,Selesai,3.856353310975536,98.65821147430303
1207242017,120724,1207,32,2025,Selesai,3.7599855829937385,98.55656439580956
1207232010,120723,1207,17,2025,Selesai,3.5937226175582677,98.56731850477162
1207192025,120719,1207,17,2025,Selesai,3.439961694152142,98.86718008676154
1207312016,120731,1207,17,2025,Selesai,3.5880321068329843,98.91222272194968
1207312014,120731,1207,9,2025,Selesai,3.620093606090205,98.91768149101604
1207312008,120731,1207,10,2025,Selesai,3.5180474058080127,98.92535854127358
1215012009,121501,1215,15,2025,Selesai,2.6706736311238917,98.12807813247531
1207032001,121501,1215,15,2025,Selesai,2.5843733156408737,98.17857192474769
1215012001,121501,1215,19,2025,Selesai,2.6745080671480617,98.21821976642589
1215022014,121502,1215,14,2025,Selesai,2.6058190781832478,98.29060406956943
1215032013,121503,1215,15,2025,Selesai,2.492563776487292,98.293242282083
1215032014,121503,1215,19,2025,Selesai,2.5192208730463608,98.33083986036934
1215082002,121508,1215,16,2025,Selesai,2.5919419527632916,98.37532386031216
